"QuestionID","strQuestion","Reference","blnOpen","blnPrivate","blnRandomizeAnswer","Random","CategoryID","Times Used","Manual","A/C Type","System","WCN","Updated","Chapter","Page","Remarks","Position","Sub-Category","FillInBlankQuestion"
895,"The Digital Land Mass Canceller (DLMC) is a processor for the ______ tracker, which determines where on the map a contact lies, and performs the lookup of each contact to determine if it is in a land or water environment.",,0,0,0,0.23,1,0,"NATOPS","MQ-4C","DLMC",,8/1/2025 0:00:00,"22.1.1.2.5","22-7",,"TACCO","Payload Management",0
896,"The Broad Area Maritime Surveillance (BAMS) Airborne Recorder (BAR) incorporates _____ solid state drives in a removable flash storage array (FSA) for a data storage capacity of____TB.",,0,0,0,0.14,1,0,"NATOPS","MQ-4C","BAR",,8/1/2025 0:00:00,"22.2","22-10",,"TACCO","NOTE, CAUTION, WARNING",0
897,"A  _____  indicates that half of the BAR zeroize heartbeat timer has elapsed without a response. Self-zeroization of the BAR will occur once the remaining half of the BAR Heartbeat timeout expires.",,1,0,0,0.92,1,0,"NATOPS","MQ-4C","BAR",,8/1/2025 0:00:00,"FIG 16-48","16-770",,"TACCO","NOTE, CAUTION, WARNING",0
903,"The EO/IR incorporates an attitude reference system (ARS) that uses _____ and _______ to report precise target location. ARS is a software algorithm that continually reduces the EO/IR pointing location error.",,1,0,0,0.32,1,0,"NATOPS","MQ-4C","EO/IR",,8/1/2025 0:00:00,"23.4","23-14",,"TACCO","EO/IR",0
904,"	The EO/IR should not be turned OFF when the UA is descending from an altitude above ______ feet and TU AMB is cooler than or equal to _____.",,1,0,0,0.13,1,0,"NATOPS","MQ-4C","EO/IR",,8/1/2025 0:00:00,"FIG 23-19","23-23",,"TACCO","NOTE, CAUTION, WARNING",1
908,"What is the coldest temperature an operator may attempt an MFAS boot while in-flight non-operating and how many times per flight may you attempt it?",,1,0,0,0.95,1,0,"NATOPS","MQ-4C","MFAS",,8/1/2025 0:00:00,"Fig 23-5","23-7",,"TACCO","Limitations",0
909,"The aircraft will continue along the current flight path after the last waypoint on a discontinuous route.",,1,0,0,0.22,1,0,"NATOPS","MQ-4C","Mission Plan",,8/1/2025 0:00:00,"2.21.1","2-191",,"TACCO","NOTE, CAUTION, WARNING",0
911,"What is the default In-flight CONT-1 timer setting?",,1,0,0,0.42,1,0,"NATOPS","MQ-4C","CONT-1",,8/1/2025 0:00:00,"2.21.5.1","2-196",,"TACCO","Contingencies",0
912,"The ____ is responsible for coordinating ____ collection requirements between the crew and _____ distributed operators and other external units",,1,0,0,0.09,1,0,"NATOPS","MQ-4C",,,8/1/2025 0:00:00,"5.2.6","5-1",,"TACCO","CRM",1
913,"Link Alerts panel is to display any tactical data links (TDL) alerts received from either ____or from _____.",,0,0,0,0.08,1,0,"NATOPS","MQ-4C","LINK-16",,8/1/2025 0:00:00,"24.2.23.1","24-205",,"TACCO","DATA COMMUNICATIONS",1
914,"The communication system is broken down into the following subsystems: (Select all that apply)",,0,0,0,0.84,1,0,"NATOPS","MQ-4C","WCCS",,8/1/2025 0:00:00,"19.2","19-2",,"TACCO","DATA COMMUNICATIONS",0
916,"In the event that all four navigation systems have the same navigation quality, which navigation source will the IMMC select?",,1,0,0,0.57,1,0,"NATOPS","MQ-4C","NAVIGATION",,8/1/2025 0:00:00,"19.13.4.3","19-265",,"TACCO","SYSTEMS",0
917,"When power is removed to the BAR, the BAR becomes unclassified.",,0,0,0,0.10,1,0,"NATOPS","MQ-4C","BAR",,8/1/2025 0:00:00,"22.2","22-12",,"TACCO","PAYLOAD MANAGEMENT",0
918,"The Data Transport Manager (DTM) is the framework that supports the transfer of data between the AMP and the MES (Mission Execution Software).",,0,0,0,0.53,1,0,"NATOPS","MQ-4C","DATA TRANSPORT MANAGER",,8/1/2025 0:00:00,"22.1.1.1.5","22-4",,"TACCO","PAYLOAD MANAGEMENT",0
919,"When is the initial pinning of the BAR completed?",,0,0,0,0.77,1,0,"NATOPS","MQ-4C","BAR",,8/1/2025 0:00:00,"26.1.3","26-4",,"TACCO","SYSTEMS",0
920,"The BAR is powered off/on from the AVC2 interface by the AVP. Once commanded off, the AMP and BAR power down takes approximately ___.",,1,0,0,0.04,1,0,"NATOPS","MQ-4C","BAR",,8/1/2025 0:00:00,"26.1.3","26-4",,"TACCO","SYSTEMS",0
923,"When Commanded on, the BAR takes approximately _______ to reach a state where it can be re-pinned.",,1,0,0,0.69,1,0,"NATOPS","MQ-4C","BAR",,8/1/2025 0:00:00,"26.1.3","26-4",,"TACCO","SYSTEMS",0
924,"The lost link squawk is set from the vehicle test controller (VTC) during mission start. If the associated field is left blank, the Mode 3/A will default to ____ during a CONT-1 condition.",,0,0,0,0.02,1,0,"NATOPS","MQ-4C","CONT-1",,8/1/2025 0:00:00,"2.21.5.1","2-196",,"TACCO","NOTE, CAUTION, WARNING",0
926,"What is a Contingency 1?",,0,0,0,0.75,1,0,"NATOPS","MQ-4C","CONTINGENCIES",,8/1/2025 0:00:00,"2.21.5","2-195",,"TACCO","SYSTEMS",1
927,"What is a Contingency 2?",,0,0,0,0.83,1,0,"NATOPS","MQ-4C","CONTINGENCIES",,8/1/2025 0:00:00,"2.21.5","2-195",,"TACCO","SYSTEMS",1
928,"What is a Contingency 3?",,0,0,0,0.39,1,0,"NATOPS","MQ-4C","CONTINGENCIES",,8/1/2025 0:00:00,"2.21.5","2-195",,"TACCO","SYSTEMS",1
929,"What is a Contingency 4A?",,0,0,0,0.16,1,0,"NATOPS","MQ-4C","CONTINGENCIES",,8/1/2025 0:00:00,"2.21.5","2-195",,"TACCO","SYSTEMS",1
930,"What is a Contingency 4B?",,0,0,0,0.11,1,0,"NATOPS","MQ-4C","CONTINGENCIES",,8/1/2025 0:00:00,"2.21.5","2-195",,"TACCO","SYSTEMS",1
931,"How many contingencies exist?",,0,0,0,0.99,1,0,"NATOPS","MQ-4C","CONTINGENCIES",,8/1/2025 0:00:00,"2.21.5","2-195",,"TACCO","SYSTEMS",1
932,"The stale data meter will turn yellow when elapsed time is between ___ and ___ seconds.",,0,0,0,0.35,1,0,"NATOPS","MQ-4C","CONTINGENCIES",,8/1/2025 0:00:00,"2.21.5.1","2-196",,"TACCO","SYSTEMS",1
933,"During a lost link condition, the master caution window, event history, and fault history will update.",,0,0,0,0.29,1,0,"NATOPS","MQ-4C","CONTINGENCIES",,8/1/2025 0:00:00,"2.21.5.1","2-196",,"TACCO","SYSTEMS",0
934," What is the software default setting of the CONT-1 timer during taxi/takeoff?",,0,0,0,0.73,1,0,"NATOPS","MQ-4C","CONTINGENCIES",,8/1/2025 0:00:00,"2.21.5.1","2-196",,"TACCO","SYSTEMS",0
935,"Deselecting the _________ checkbox in the MDM CAD gives the operator the option to disconnect the AMP from the MCS XMPP server.",,0,0,0,0.15,1,0,"NATOPS","MQ-4C","BAR/AMP",,8/1/2025 0:00:00,"7.2.6","7-50",,"TACCO","DATA COMMUNICATIONS",0
